id|topic|difficulty|question|option_a|option_b|option_c|option_d|correct_option
1|Mental Ability|Easy|What comes next in the series: 2, 4, 6, 8, ?|10|12|9|11|A
2|Mental Ability|Easy|Which number is the odd one out: 3, 5, 7, 9, 11?|3|5|9|11|C
3|Mental Ability|Easy|Find the missing number: 5, 10, __, 20, 25|15|12|13|14|A
4|Mental Ability|Easy|Which word is different from the others?|Cat|Dog|Cow|Apple|D
5|Mental Ability|Easy|If all Bloops are Razzies and all Razzies are Lazzies, then all Bloops are definitely:|Lazzies|Razzies|Cats|Dogs|A
6|Mental Ability|Easy|Which direction is opposite to North-East?|South-West|North-West|South-East|North|A
7|Mental Ability|Easy|What comes next in the pattern: A, C, E, G, ?|H|I|J|K|B
8|Mental Ability|Easy|Find the odd one out: 24, 36, 48, 60, 71|36|48|60|71|D
9|Mental Ability|Easy|Which is the smallest: 1/2, 3/4, 2/5, 4/5|1/2|3/4|2/5|4/5|C
10|Mental Ability|Easy|If 2x = 10, what is x?|3|4|5|6|C
1|Mental Ability|Medium|What number replaces the question mark: 3, 6, 12, 24, ?|36|48|30|50|B
2|Mental Ability|Medium|Rearrange the letters: NPEAL to form a fruit.|LAPEN|APPLE|PANEL|PLANE|B
3|Mental Ability|Medium|If in a certain code, DOG is 4157, what is GOD?|7514|7415|7451|7154|C
4|Mental Ability|Medium|Find the next term: 2, 4, 8, 16, ?|18|20|32|24|C
5|Mental Ability|Medium|Complete the analogy: Book : Reading :: Fork : ?|Eating|Writing|Drawing|Stirring|A
6|Mental Ability|Medium|Which number doesn't belong: 121, 144, 169, 182|144|169|182|121|C
7|Mental Ability|Medium|What comes next: 1, 4, 9, 16, ?|20|25|30|24|B
8|Mental Ability|Medium|If a clock is rotated 90° clockwise, where will the minute hand point at 3:00?|3|6|12|9|B
9|Mental Ability|Medium|What is the next number in Fibonacci sequence: 0, 1, 1, 2, 3, 5, ?|7|8|9|6|B
10|Mental Ability|Medium|A is taller than B but shorter than C. Who is the tallest?|A|B|C|D|C
1|Mental Ability|Hard|If John's age after 10 years will be 2 times his current age, how old is he now?|5|10|15|20|B
2|Mental Ability|Hard|Solve: If x + 2 = 10 and x - 2 = 6, what is x?|6|8|7|9|A
3|Mental Ability|Hard|Which letter comes next: Z, X, V, T, ?|S|R|Q|P|D
4|Mental Ability|Hard|A train running at 60 km/h crosses a pole in 30 seconds. What is the length of the train?|500m|600m|450m|800m|A
5|Mental Ability|Hard|Find the odd pair: Pen-Paper, Needle-Thread, Lock-Key, Chair-Table|Pen-Paper|Needle-Thread|Lock-Key|Chair-Table|D
6|Mental Ability|Hard|Which number is a perfect cube: 27, 30, 81, 64|27|30|81|64|A
7|Mental Ability|Hard|What number fits: 8, 27, 64, ?|100|125|128|121|B
8|Mental Ability|Hard|Which direction is 135° clockwise from North?|South-East|South-West|East|North-West|B
9|Mental Ability|Hard|If the day after tomorrow is Friday, what day is today?|Tuesday|Wednesday|Thursday|Monday|A
10|Mental Ability|Hard|If 3 pencils cost $2, how much do 12 pencils cost?|6|8|10|12|B
